time,gFx,gFy,gFz,TgF
12.212,0.1924,3.0645,-0.087,3.072
12.576,-0.1553,0.1863,-0.0211,0.243
12.96,0.2556,2.9717,-0.1366,2.986
13.339,0.1724,0.1494,0.0172,0.229
13.714,0.2258,2.9839,-0.0768,2.993
14.089,-0.1512,0.2131,-0.0287,0.263
14.494,0.2632,2.9061,-0.0833,2.919
14.86,0.1714,0.1716,-0.0577,0.249
15.203,0.2234,2.8992,-0.0826,2.909
15.587,-0.1448,0.2498,-0.0196,0.289
15.962,0.2522,2.8062,-0.1461,2.821
16.312,0.1665,0.1963,0.0131,0.258
16.701,0.2048,2.8064,-0.1012,2.816
17.061,-0.1429,0.2891,-0.0179,0.323
17.473,0.2473,2.7591,-0.1151,2.773
17.797,0.178,0.2188,-0.0567,0.288
18.176,0.2048,2.7171,-0.1249,2.728
18.572,-0.1426,0.3169,-0.0186,0.348
18.934,0.2466,2.6919,-0.1327,2.706
19.289,0.1794,0.2444,-0.0626,0.31
