time,gFx,gFy,gFz,TgF
0.001000,-0.0797,0.4026,1.0554,1.132
0.002000,-0.0731,0.4070,1.0749,1.152
0.004000,-0.0783,0.4063,1.0854,1.162
0.010000,-0.0771,0.4026,1.0840,1.159
0.015000,-0.0746,0.4029,1.0766,1.152
0.019000,-0.0692,0.3977,1.0612,1.135
0.028000,-0.0653,0.3965,1.0437,1.118
0.029000,-0.0631,0.3904,1.0222,1.096
0.034000,-0.0583,0.3889,0.9941,1.069
0.039000,-0.0546,0.3836,0.9638,1.039
0.045000,-0.0500,0.3789,0.9357,1.011
0.051000,-0.0424,0.3763,0.9160,0.991
0.054000,-0.0326,0.3733,0.8991,0.974
0.060000,-0.0250,0.3714,0.8920,0.967
0.063000,-0.0143,0.3741,0.8935,0.969
0.069000,-0.0058,0.3709,0.9025,0.976
0.073000,-0.0021,0.3721,0.9135,0.986
0.078000,0.0047,0.3697,0.9291,1.000
0.083000,0.0121,0.3631,0.9465,1.014
0.088000,0.0111,0.3594,0.9580,1.023
0.093000,0.0033,0.3565,0.9680,1.032
0.098000,-0.0043,0.3572,0.9755,1.039
0.102000,-0.0153,0.3540,0.9760,1.038
0.107000,-0.0253,0.3528,0.9743,1.037
0.112000,-0.0353,0.3575,0.9604,1.025
0.117000,-0.0419,0.3582,0.9421,1.009
0.122000,-0.0456,0.3618,0.9206,0.990
0.135000,-0.0443,0.3650,0.8998,0.972
0.136000,-0.0458,0.3655,0.8752,0.950
0.136000,-0.0429,0.3658,0.8500,0.926
0.142000,-0.0412,0.3660,0.8268,0.905
0.150000,-0.0416,0.3665,0.8076,0.888
0.151000,-0.0419,0.3701,0.7951,0.878
0.156000,-0.0463,0.3719,0.7831,0.868
0.161000,-0.0534,0.3733,0.7778,0.864
0.166000,-0.0553,0.3753,0.7778,0.865
0.170000,-0.0524,0.3772,0.7829,0.871
0.176000,-0.0517,0.3794,0.7978,0.885
0.180000,-0.0478,0.3765,0.8203,0.904
0.185000,-0.0473,0.3780,0.8403,0.923
0.190000,-0.0514,0.3745,0.8679,0.947
0.195000,-0.0558,0.3704,0.8908,0.966
0.200000,-0.0551,0.3719,0.9135,0.988
0.205000,-0.0548,0.3706,0.9326,1.005
0.210000,-0.0570,0.3738,0.9436,1.017
0.215000,-0.0534,0.3723,0.9494,1.021
0.219000,-0.0573,0.3714,0.9482,1.020
